Epoch 1089
Wins - A: 15, B: 36

  8 | B | Special    ['0.39', '0.00', '0.39', '0.22']  50 |  40 |  0.01 | {'Poison': 1}
  9 | B | Attack     ['0.31', '0.00', '0.46', '0.23']  45 |  50 |  0.01 | {'Poison': 2}
 10 | B | Recover    ['0.13', '0.01', '0.59', '0.27']  40 | 100 | 10.13 | {'Poison': 2}

Epoch 1097
Wins - A: 16, B: 43

  0 | A | Attack     ['0.19', '0.00', '0.07', '0.75'] 100 | 100 |  0.01 | {}
  1 | A | Attack     ['0.22', '0.00', '0.05', '0.72'] 100 | 100 |  0.01 | {}
  2 | A | Special    ['0.19', '0.00', '0.03', '0.78']  95 |  70 |  0.01 | {'Poison': 2}
  3 | A | Attack     ['0.31', '0.00', '0.06', '0.63']  90 |  80 |  0.01 | {'Poison': 1}
  4 | A | Recover    ['0.24', '0.00', '0.04', '0.71']  85 | 100 |  0.01 | {'Poison': 2}
  5 | A | Recover    ['0.28', '0.00', '0.09', '0.63']  80 | 100 | -0.01 | {'Poison': 1}
  6 | A | Recover    ['0.30', '0.00', '0.11', '0.59']  75 | 100 | -0.01 | {}
  7 | A | Defend     ['0.29', '0.00', '0.27', '0.43']  55 | 100 |  0.01 | {'Defend': 1}
  8 | A | Recover    ['0.27', '0.00', '0.19', '0.54']  50 | 100 | 10.03 | {'Poison': 2}
  0 | B | Recover    ['0.08', '0.00', '0.64', '0.28']  75 | 100 | -0.01 | {}
  1 | B | Special    ['0.13', '0.00', '0.52', '0.34']  55 |  70 |  0.01 | {}
  2 | B | Recover    ['0.15', '0.00', '0.54', '0.31']  50 | 100 |  0.01 | {'Poison': 2}
  3 | B | Special    ['0.17', '0.00', '0.46', '0.37']  25 |  70 |  0.01 | {'Poison': 1}
  4 | B | Recover    ['0.53', '0.00', '0.23', '0.23']  20 | 100 |  0.01 | {}
  5 | B | Recover    ['0.29', '0.00', '0.37', '0.34']  20 | 100 | -0.01 | {}
  6 | B | Attack     ['0.29', '0.00', '0.37', '0.34']  20 | 100 |  0.01 | {}
  7 | B | Special    ['0.28', '0.00', '0.39', '0.34']  20 |  70 |  0.01 | {}
  8 | B | Attack     ['0.55', '0.00', '0.23', '0.22']  20 |  80 |  0.01 | {}
  9 | B | *KNOCKOUT* ['0.00', '0.00', '0.00', '0.00']   0 |  80 | -9.95 | {}

Epoch 1098
Wins - A: 16, B: 44

  0 | A | Recover    ['0.19', '0.00', '0.08', '0.73']  95 | 100 | -0.01 | {}
  1 | A | Recover    ['0.19', '0.00', '0.08', '0.73']  95 | 100 | -0.01 | {}
  2 | A | Special    ['0.10', '0.00', '0.08', '0.81']  90 |  70 |  0.01 | {'Poison': 2}
  3 | A | Recover    ['0.26', '0.00', '0.09', '0.65']  85 | 100 |  0.01 | {'Poison': 1}
  4 | A | Attack     ['0.12', '0.00', '0.11', '0.77']  80 | 100 |  0.01 | {'Poison': 2}
  5 | A | Recover    ['0.18', '0.00', '0.27', '0.55']  55 | 100 | -0.01 | {'Poison': 1}
  6 | A | Recover    ['0.11', '0.00', '0.30', '0.59']  50 | 100 | -0.01 | {'Poison': 2}
  7 | A | Recover    ['0.12', '0.00', '0.37', '0.50']  45 | 100 | -0.01 | {'Poison': 1}
  8 | A | Special    ['0.10', '0.01', '0.67', '0.22']  20 |  70 |  0.01 | {}
  9 | A | Special    ['0.09', '0.02', '0.64', '0.25']  15 |  40 |  0.01 | {'Poison': 2}
 10 | A | Recover    ['0.11', '0.04', '0.53', '0.32']  10 | 100 |  0.01 | {'Poison': 2}
 11 | A | Special    ['0.09', '0.01', '0.80', '0.10']   5 |  70 |  0.01 | {'Poison': 1}
 12 | A | *POISONED* ['0.00', '0.00', '0.00', '0.00']   0 |  70 | -9.98 | {'Poison': 3}
  0 | B | Recover    ['0.03', '0.00', '0.78', '0.19'] 100 | 100 | -0.01 | {}
  1 | B | Special    ['0.03', '0.00', '0.78', '0.19'] 100 |  70 |  0.01 | {}
  2 | B | Recover    ['0.04', '0.00', '0.76', '0.21']  95 | 100 |  0.01 | {'Poison': 2}
  3 | B | Special    ['0.05', '0.00', '0.74', '0.21']  90 |  70 |  0.01 | {'Poison': 1}
  4 | B | Attack     ['0.22', '0.00', '0.53', '0.25']  65 |  80 |  0.01 | {}
  5 | B | Special    ['0.17', '0.00', '0.60', '0.22']  65 |  50 |  0.01 | {}
  6 | B | Defend     ['0.39', '0.00', '0.44', '0.17']  65 |  60 |  0.01 | {'Defend': 1}
  7 | B | Attack     ['0.31', '0.00', '0.51', '0.18']  65 |  70 |  0.01 | {}
  8 | B | Special    ['0.13', '0.00', '0.66', '0.21']  60 |  40 |  0.01 | {'Poison': 2}
  9 | B | Special    ['0.10', '0.00', '0.67', '0.23']  55 |  10 |  0.01 | {'Poison': 2}
 10 | B | Recover    ['0.39', '0.00', '0.42', '0.19']  50 |  70 |  0.01 | {'Poison': 1}
 11 | B | Special    ['0.24', '0.00', '0.54', '0.23']  45 |  40 | 10.11 | {'Poison': 2}

Epoch 1099
Wins - A: 16, B: 45

  0 | A | Recover    ['0.19', '0.00', '0.08', '0.73']  95 | 100 | -0.01 | {'Poison': 1}
  1 | A | Recover    ['0.11', '0.00', '0.08', '0.81']  90 | 100 | -0.01 | {'Poison': 2}
  2 | A | Attack     ['0.16', '0.00', '0.23', '0.62']  65 | 100 |  0.01 | {'Poison': 1}
  3 | A | Special    ['0.23', '0.00', '0.25', '0.52']  60 |  70 |  0.01 | {}
  4 | A | Special    ['0.25', '0.00', '0.18', '0.57']  55 |  40 |  0.01 | {'Poison': 2}
  5 | A | Recover    ['0.24', '0.01', '0.15', '0.60']  50 | 100 |  0.01 | {'Poison': 2}
  6 | A | Recover    ['0.09', '0.01', '0.57', '0.33']  25 | 100 | -0.01 | {'Poison': 1}
  7 | A | Recover    ['0.11', '0.01', '0.60', '0.28']  20 | 100 | -0.01 | {}
  8 | A | Defend     ['0.13', '0.01', '0.75', '0.12']  20 | 100 |  0.01 | {'Defend': 1}
