Epoch 1039
Wins - A: 0, B: 1

  5 | A | Recover    ['0.18', '0.00', '0.28', '0.54']  50 | 100 |  0.01 | {'Poison': 2}
  6 | A | Special    ['0.06', '0.00', '0.52', '0.42']  45 |  70 |  0.01 | {'Poison': 2}
  7 | A | Special    ['0.14', '0.01', '0.37', '0.48']  40 |  40 |  0.01 | {'Poison': 1}
  8 | A | Defend     ['0.13', '0.01', '0.35', '0.51']  35 |  50 |  0.01 | {'Poison': 2, 'Defend': 1}
  9 | A | Defend     ['0.23', '0.02', '0.39', '0.37']  30 |  60 |  0.01 | {'Poison': 1, 'Defend': 1}
 10 | A | Defend     ['0.17', '0.02', '0.58', '0.23']  25 |  70 |  0.01 | {'Defend': 1}
 11 | A | Special    ['0.15', '0.02', '0.57', '0.26']  20 |  40 |  0.01 | {'Poison': 2}
 12 | A | Special    ['0.19', '0.03', '0.52', '0.26']  15 |  10 |  0.01 | {'Poison': 1}
 13 | A | Defend     ['0.17', '0.05', '0.35', '0.43']  10 |  20 |  0.01 | {'Defend': 1}
 14 | A | Special    ['0.19', '0.06', '0.44', '0.31']   5 |  20 |  0.00 | {'Poison': 2}
